Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
19/03/2023,2022,Aris,PAOK,3.2,3.0,2.38,1.0,2.0,A,4,1,12,4,2,0,69,15,3,0,9,2,2,0,69,15
19/03/2023,2022,Volos NFC,Olympiakos,34.0,9.0,1.07,0.0,3.0,A,1,3,5,10,0,1,38,15,3,0,11,2,2,0,38,15
18/03/2023,2022,Lamia,Giannina,2.3,3.1,3.3,2.0,0.0,H,1,3,4,11,0,2,15,31,1,1,6,6,0,0,15,31
18/03/2023,2022,Atromitos,Ionikos,1.95,3.2,4.2,2.0,0.0,H,2,2,4,4,0,0,38,38,1,3,2,9,0,1,38,38
18/03/2023,2022,OFI Crete,Levadeiakos,1.73,3.6,4.75,1.0,1.0,D,1,2,1,6,0,2,15,31,0,4,2,13,0,2,15,31
18/03/2023,2022,Asteras Tripolis,Panetolikos,1.83,3.4,4.5,2.0,1.0,H,1,0,5,4,0,0,31,62,1,3,5,14,0,2,31,62
12/03/2023,2022,Volos NFC,PAOK,10.0,4.75,1.33,0.0,1.0,A,1,3,5,13,0,2,42,17,2,0,9,3,2,0,42,17
12/03/2023,2022,Panetolikos,Lamia,2.2,3.1,3.6,1.0,1.0,D,2,1,4,5,0,1,25,25,0,3,1,9,0,2,25,25
12/03/2023,2022,Levadeiakos,OFI Crete,2.7,3.25,2.63,2.0,0.0,H,0,3,1,7,0,1,17,42,3,1,11,3,2,0,17,42
12/03/2023,2022,Ionikos,Asteras Tripolis,2.15,3.1,3.6,1.0,0.0,H,1,4,2,7,0,0,8,42,0,4,0,11,0,2,8,42
12/03/2023,2022,Atromitos,Panathinaikos,8.0,3.75,1.5,0.0,2.0,A,2,1,5,3,0,0,42,42,2,2,3,3,0,0,42,42
12/03/2023,2022,Aris,Giannina,1.45,4.2,7.5,3.0,1.0,H,4,1,10,3,2,0,67,17,1,0,6,4,0,0,67,17
12/03/2023,2022,AEK,Olympiakos,2.05,3.3,3.75,1.0,3.0,A,5,0,13,1,3,0,92,0,3,0,10,1,2,0,92,0
08/03/2023,2022,Atromitos,AEK,8.5,4.5,1.36,0.0,1.0,A,3,0,7,2,0,0,45,45,3,2,10,5,2,0,45,45
06/03/2023,2022,Panathinaikos,Panetolikos,1.22,5.75,13.0,2.0,0.0,H,3,1,7,4,0,1,75,17,1,3,5,13,0,2,75,17
05/03/2023,2022,PAOK,Ionikos,1.22,5.25,17.0,6.0,0.0,H,3,0,6,2,0,0,67,25,1,3,2,4,0,0,67,25
05/03/2023,2022,OFI Crete,AEK,10.0,4.2,1.4,0.0,3.0,A,1,2,1,4,0,1,17,33,2,2,7,5,1,0,17,33
05/03/2023,2022,Lamia,Aris,4.75,3.5,1.75,2.0,1.0,H,0,4,2,13,0,3,8,33,1,4,3,6,1,1,8,33
05/03/2023,2022,Giannina,Volos NFC,2.25,3.25,3.2,0.0,1.0,A,1,1,3,3,0,0,25,50,2,2,4,5,1,1,25,50
05/03/2023,2022,Olympiakos,Levadeiakos,1.14,8.0,21.0,6.0,0.0,H,4,0,14,2,2,0,67,25,0,4,3,9,0,1,67,25
04/03/2023,2022,Asteras Tripolis,Atromitos,2.25,3.0,3.6,1.0,1.0,D,2,0,7,3,1,0,33,58,0,3,4,8,0,0,33,58
26/02/2023,2022,Aris,Atromitos,1.5,3.75,8.0,2.0,1.0,H,4,1,13,2,3,0,64,18,1,2,4,6,0,0,64,18
26/02/2023,2022,Levadeiakos,Panetolikos,2.25,3.2,3.4,0.0,0.0,D,1,3,2,7,0,1,18,36,2,3,8,14,0,2,18,36
26/02/2023,2022,Ionikos,OFI Crete,2.88,3.0,2.63,0.0,2.0,A,1,3,3,6,0,0,9,45,2,1,10,4,2,0,9,45
25/02/2023,2022,Olympiakos,Panathinaikos,2.0,3.3,4.0,0.0,0.0,D,4,0,14,2,2,0,73,18,3,2,4,3,0,0,73,18
25/02/2023,2022,Giannina,PAOK,9.0,4.0,1.44,0.0,0.0,D,1,1,5,5,0,0,27,45,3,0,11,3,2,0,27,45
25/02/2023,2022,AEK,Asteras Tripolis,1.17,7.0,23.0,2.0,0.0,H,5,0,14,1,4,0,91,0,0,4,0,11,0,2,91,0
24/02/2023,2022,Volos NFC,Lamia,1.91,3.5,3.8,1.0,1.0,D,2,3,6,13,0,2,45,9,0,4,0,13,0,3,45,9
20/02/2023,2022,OFI Crete,Aris,2.88,3.2,2.6,0.0,3.0,A,2,1,3,2,0,0,18,36,0,4,1,7,0,1,18,36
20/02/2023,2022,Atromitos,Levadeiakos,1.8,3.3,5.25,1.0,0.0,H,2,0,6,2,0,0,40,50,0,3,3,8,0,1,40,50
19/02/2023,2022,PAOK,AEK,2.9,3.0,2.7,2.0,0.0,H,3,0,7,2,1,0,64,27,2,1,8,4,1,0,64,27
19/02/2023,2022,Panetolikos,Ionikos,2.1,3.1,3.6,1.0,0.0,H,1,2,3,7,0,1,18,27,1,3,2,4,0,0,18,27
19/02/2023,2022,Lamia,Olympiakos,12.0,4.75,1.3,0.0,3.0,A,0,3,3,11,0,2,9,36,2,0,9,3,1,0,9,36
18/02/2023,2022,Asteras Tripolis,Giannina,2.0,3.0,4.5,1.0,1.0,D,2,0,6,2,1,0,36,55,1,1,6,5,0,0,36,55
18/02/2023,2022,Panathinaikos,Volos NFC,1.33,5.25,8.5,2.0,0.0,H,2,1,6,5,0,1,73,18,2,1,4,3,1,1,73,18
13/02/2023,2022,Olympiakos,Panetolikos,1.17,7.5,19.0,6.0,1.0,H,4,0,10,1,1,0,70,20,2,2,8,9,0,1,70,20
13/02/2023,2022,AEK,Levadeiakos,1.11,9.0,23.0,3.0,0.0,H,5,0,14,1,4,0,90,0,0,3,4,7,0,0,90,0
13/02/2023,2022,Asteras Tripolis,PAOK,4.33,3.5,1.85,2.0,2.0,D,3,0,5,0,1,0,40,50,4,0,12,1,3,0,40,50
13/02/2023,2022,Lamia,OFI Crete,2.7,3.1,2.75,1.0,4.0,A,0,3,3,10,0,1,10,40,1,2,6,6,1,1,10,40
12/02/2023,2022,Aris,Panathinaikos,2.9,3.0,2.63,1.0,2.0,A,4,0,13,1,3,0,70,20,2,2,3,3,0,0,70,20
12/02/2023,2022,Volos NFC,Atromitos,2.25,3.3,3.3,2.0,1.0,H,1,4,5,17,0,3,40,10,1,2,3,6,0,0,40,10
11/02/2023,2022,Giannina,Ionikos,1.91,3.4,4.33,0.0,0.0,D,1,2,5,9,0,1,30,40,2,3,4,4,0,0,30,40
06/02/2023,2022,Levadeiakos,Volos NFC,2.38,3.3,2.9,0.0,3.0,A,1,2,3,5,0,0,20,40,1,2,1,6,0,2,20,40
05/02/2023,2022,PAOK,Olympiakos,2.45,3.2,3.1,0.0,0.0,D,4,0,9,2,1,0,70,20,3,0,10,3,1,0,70,20
05/02/2023,2022,Panetolikos,Asteras Tripolis,2.75,2.9,2.9,0.0,0.0,D,1,3,3,8,0,1,20,20,0,5,1,13,0,2,20,20
05/02/2023,2022,Panathinaikos,Lamia,1.29,4.75,15.0,2.0,0.0,H,2,1,5,5,0,1,70,20,0,4,0,13,0,3,70,20
04/02/2023,2022,Ionikos,Aris,5.0,3.3,1.8,1.0,0.0,H,0,4,2,9,0,1,0,50,1,3,5,6,1,1,0,50
04/02/2023,2022,OFI Crete,Giannina,2.0,3.3,4.0,0.0,0.0,D,2,2,3,4,0,0,20,30,1,2,6,7,0,0,20,30
30/01/2023,2022,Asteras Tripolis,Panathinaikos,5.25,3.4,1.8,1.0,0.0,H,2,0,5,1,1,0,33,56,3,1,4,2,0,0,33,56
30/01/2023,2022,Lamia,Ionikos,2.05,3.0,4.33,0.0,2.0,A,0,2,5,10,0,1,11,44,1,4,3,6,0,0,11,44
30/01/2023,2022,PAOK,Levadeiakos,1.25,5.75,13.0,3.0,2.0,H,3,0,8,2,1,0,67,22,0,3,2,5,0,0,67,22
29/01/2023,2022,AEK,Aris,1.53,4.2,6.0,3.0,0.0,H,5,0,13,1,3,0,89,0,1,2,5,3,1,0,89,0
29/01/2023,2022,Olympiakos,OFI Crete,1.22,6.0,15.0,2.0,1.0,H,3,1,9,2,1,0,67,22,1,1,6,5,1,1,67,22
