Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result
09/02/13,2012,Asteras Tripolis,Olympiakos,4.5,3.4,1.83,0.0,1.0,A
09/02/13,2012,Atromitos,Veria,1.53,3.6,7.5,0.0,0.0,D
09/02/13,2012,PAOK,OFI,1.4,4.0,9.5,3.0,1.0,H
10/02/13,2012,Kerkyra,AEK,3.4,3.1,2.25,0.0,1.0,A
10/02/13,2012,Panathinaikos,Xanthi,1.6,3.5,6.5,0.0,1.0,A
10/02/13,2012,Panionios,Giannina,2.38,3.0,3.25,0.0,1.0,A
10/02/13,2012,Panthrakikos,Levadeiakos,2.5,3.0,3.0,3.0,0.0,H
11/02/13,2012,Platanias,Aris,2.38,3.0,3.2,2.0,0.0,H
16/02/13,2012,AEK,PAOK,2.8,3.0,2.7,0.0,0.0,D
16/02/13,2012,Giannina,Panthrakikos,2.0,3.1,4.2,0.0,0.0,D
16/02/13,2012,Kerkyra,Panionios,2.75,3.0,2.75,2.0,1.0,H
17/02/13,2012,Aris,Panathinaikos,2.9,3.0,2.6,1.0,0.0,H
17/02/13,2012,Levadeiakos,Atromitos,2.6,3.0,2.9,0.0,0.0,D
17/02/13,2012,Veria,Asteras Tripolis,3.0,3.0,2.5,1.0,2.0,A
17/02/13,2012,Xanthi,Olympiakos,5.5,3.4,1.7,0.0,2.0,A
18/02/13,2012,OFI,Platanias,2.0,3.2,4.0,1.0,3.0,A
23/02/13,2012,Panathinaikos,OFI,1.57,3.5,7.0,3.0,1.0,H
23/02/13,2012,PAOK,Kerkyra,1.25,5.25,13.0,3.0,1.0,H
23/02/13,2012,Xanthi,Veria,2.05,3.1,4.0,0.0,2.0,A
24/02/13,2012,Asteras Tripolis,Levadeiakos,1.85,3.3,4.5,1.0,0.0,H
24/02/13,2012,Atromitos,Giannina,1.91,3.2,4.33,0.0,0.0,D
24/02/13,2012,Olympiakos,Aris,1.25,5.5,12.0,2.0,1.0,H
24/02/13,2012,Panionios,Panthrakikos,2.3,3.1,3.25,2.0,0.0,H
24/02/13,2012,Platanias,AEK,2.9,2.9,2.65,2.0,1.0,H
02/03/13,2012,Kerkyra,Platanias,2.5,3.0,3.0,2.0,1.0,H
02/03/13,2012,OFI,Olympiakos,8.0,4.0,1.44,0.0,4.0,A
02/03/13,2012,Panthrakikos,Atromitos,3.1,2.9,2.5,0.0,1.0,A
03/03/13,2012,AEK,Panathinaikos,2.75,3.0,2.7,0.0,2.0,A
03/03/13,2012,Giannina,Asteras Tripolis,2.8,2.88,2.8,1.0,2.0,A
03/03/13,2012,Levadeiakos,Xanthi,2.05,3.0,4.2,1.0,4.0,A
03/03/13,2012,PAOK,Panionios,1.4,4.2,9.0,4.0,2.0,H
04/03/13,2012,Veria,Aris,2.2,3.0,3.6,3.0,1.0,H
09/03/13,2012,Asteras Tripolis,Panthrakikos,1.5,3.6,8.0,1.0,0.0,H
09/03/13,2012,Panathinaikos,Kerkyra,1.29,4.75,13.0,1.0,0.0,H
09/03/13,2012,Platanias,PAOK,4.5,3.4,1.83,1.0,2.0,A
10/03/13,2012,Aris,Levadeiakos,2.05,3.1,3.9,4.0,0.0,H
10/03/13,2012,Olympiakos,AEK,1.2,6.0,15.0,3.0,0.0,H
10/03/13,2012,Veria,OFI,1.95,3.2,4.2,0.0,0.0,D
10/03/13,2012,Xanthi,Giannina,2.25,3.2,3.3,0.0,1.0,A
11/03/13,2012,Panionios,Atromitos,2.9,3.1,2.5,1.0,0.0,H
16/03/13,2012,AEK,Veria,1.95,3.0,4.5,2.0,1.0,H
16/03/13,2012,Giannina,Aris,2.15,3.1,3.6,2.0,0.0,H
16/03/13,2012,Levadeiakos,OFI,1.91,3.1,4.5,1.0,1.0,D
17/03/13,2012,Atromitos,Asteras Tripolis,2.4,3.0,3.2,0.0,2.0,A
17/03/13,2012,Kerkyra,Olympiakos,9.0,4.5,1.36,0.0,1.0,A
17/03/13,2012,PAOK,Panathinaikos,2.1,3.1,3.8,2.0,0.0,H
17/03/13,2012,Platanias,Panionios,,,,2.0,1.0,H
18/03/13,2012,Panthrakikos,Xanthi,2.15,3.0,3.75,0.0,2.0,A
30/03/13,2012,Aris,Panthrakikos,1.62,3.4,5.5,0.0,0.0,D
30/03/13,2012,OFI,Giannina,2.5,2.9,3.1,2.0,1.0,H
30/03/13,2012,Panathinaikos,Platanias,1.5,3.75,7.5,0.0,1.0,A
31/03/13,2012,Levadeiakos,AEK,2.7,2.9,2.88,0.0,0.0,D
31/03/13,2012,Olympiakos,PAOK,1.57,3.75,6.25,0.0,0.0,D
31/03/13,2012,Veria,Kerkyra,1.44,4.2,7.5,2.0,0.0,H
31/03/13,2012,Xanthi,Atromitos,2.8,2.88,2.75,0.0,0.0,D
01/04/13,2012,Panionios,Asteras Tripolis,3.5,3.1,2.2,2.0,1.0,H
06/04/13,2012,Atromitos,Aris,1.85,3.3,4.5,0.0,1.0,A
06/04/13,2012,Kerkyra,Levadeiakos,4.33,3.1,1.95,1.0,2.0,A
06/04/13,2012,PAOK,Veria,1.4,4.5,8.0,2.0,0.0,H
07/04/13,2012,Asteras Tripolis,Xanthi,1.57,3.5,7.0,0.0,1.0,A
07/04/13,2012,Panathinaikos,Panionios,1.44,4.0,8.0,0.0,0.0,D
07/04/13,2012,Panthrakikos,OFI,1.62,3.6,6.0,3.0,1.0,H
07/04/13,2012,Platanias,Olympiakos,6.5,3.6,1.57,0.0,4.0,A
08/04/13,2012,Giannina,AEK,2.15,3.0,3.75,2.0,0.0,H
14/04/13,2012,AEK,Panthrakikos,1.57,3.5,7.0,0.0,3.0,A
14/04/13,2012,Aris,Asteras Tripolis,1.4,4.2,9.0,5.0,1.0,H
14/04/13,2012,Giannina,Kerkyra,1.2,6.0,15.0,1.0,0.0,H
14/04/13,2012,Levadeiakos,PAOK,3.6,3.0,2.2,0.0,1.0,A
14/04/13,2012,OFI,Atromitos,1.67,3.4,6.0,2.0,2.0,D
14/04/13,2012,Olympiakos,Panathinaikos,1.36,4.5,9.0,1.0,1.0,D
14/04/13,2012,Panionios,Xanthi,2.6,3.1,2.8,3.0,3.0,D
14/04/13,2012,Veria,Platanias,1.57,3.6,6.5,5.0,0.0,H
21/04/13,2012,Asteras Tripolis,OFI,1.67,3.4,4.5,2.0,1.0,H
21/04/13,2012,Atromitos,AEK,,,,1.0,0.0,H
21/04/13,2012,Olympiakos,Panionios,1.17,6.0,11.0,2.0,1.0,H
21/04/13,2012,Panathinaikos,Veria,1.44,3.6,7.0,3.0,2.0,H
21/04/13,2012,Panthrakikos,Kerkyra,1.2,5.0,12.0,2.0,1.0,H
21/04/13,2012,PAOK,Giannina,1.53,3.6,5.5,2.0,0.0,H
21/04/13,2012,Platanias,Levadeiakos,1.67,3.4,4.5,2.0,0.0,H
21/04/13,2012,Xanthi,Aris,5.0,3.75,1.53,0.0,0.0,D
,2012,,,,,,,,
17/08/13,2013,Atromitos,Ergotelis,1.57,3.5,7.0,2.0,2.0,D
17/08/13,2013,PAOK,Xanthi,1.44,4.0,8.0,3.0,0.0,H
17/08/13,2013,Platanias,Veria,2.0,3.2,4.0,2.0,2.0,D
18/08/13,2013,Apollon,Aris,2.2,3.2,3.4,2.0,1.0,H
18/08/13,2013,Asteras Tripolis,Giannina,1.62,3.5,6.25,3.0,3.0,D
18/08/13,2013,Levadeiakos,Panthrakikos,1.75,3.4,5.0,2.0,2.0,D
18/08/13,2013,OFI,Panionios,2.0,3.2,4.0,0.0,0.0,D
18/08/13,2013,Panathinaikos,Panetolikos,1.73,3.4,5.25,2.0,0.0,H
19/08/13,2013,Kallonis,Olympiakos,19.0,5.5,1.2,0.0,1.0,A
24/08/13,2013,Panetolikos,PAOK,4.5,3.3,1.85,2.0,0.0,H
24/08/13,2013,Panionios,Panathinaikos,3.4,3.2,2.2,3.0,0.0,H
24/08/13,2013,Veria,OFI,2.2,3.1,3.5,2.0,0.0,H
25/08/13,2013,Aris,Kallonis,1.91,3.4,4.0,0.0,2.0,A
25/08/13,2013,Giannina,Apollon,2.0,3.3,3.8,2.0,0.0,H
25/08/13,2013,Olympiakos,Atromitos,1.22,6.0,12.0,2.0,1.0,H
25/08/13,2013,Platanias,Asteras Tripolis,2.75,3.0,2.7,1.0,1.0,D
25/08/13,2013,Xanthi,Panthrakikos,1.91,3.2,4.33,1.0,0.0,H
26/08/13,2013,Ergotelis,Levadeiakos,2.1,3.2,3.6,2.0,0.0,H
31/08/13,2013,Kallonis,Giannina,2.75,3.0,2.75,1.0,0.0,H
31/08/13,2013,Panathinaikos,Veria,1.7,3.4,5.5,1.0,1.0,D
31/08/13,2013,Xanthi,Ergotelis,2.05,3.1,4.0,0.0,0.0,D
01/09/13,2013,Asteras Tripolis,Apollon,1.62,3.5,6.25,2.0,0.0,H
01/09/13,2013,Levadeiakos,Olympiakos,9.0,4.5,1.36,0.0,5.0,A
01/09/13,2013,Panthrakikos,Panetolikos,2.3,3.0,3.4,2.0,1.0,H
01/09/13,2013,PAOK,Panionios,1.36,4.33,10.0,4.0,1.0,H
02/09/13,2013,Atromitos,Aris,1.62,3.5,6.25,2.0,0.0,H
02/09/13,2013,OFI,Platanias,2.3,3.0,3.4,0.0,0.0,D
14/09/13,2013,Olympiakos,Xanthi,1.22,5.75,13.0,4.0,0.0,H
14/09/13,2013,Panetolikos,Ergotelis,2.1,3.1,3.75,0.0,0.0,D
14/09/13,2013,Veria,PAOK,5.5,3.4,1.7,1.0,2.0,A
15/09/13,2013,Apollon,Kallonis,2.25,3.0,3.5,1.0,3.0,A
15/09/13,2013,Aris,Levadeiakos,2.38,3.0,3.25,1.0,1.0,D
15/09/13,2013,OFI,Asteras Tripolis,2.88,3.0,2.63,1.0,1.0,D
15/09/13,2013,Panionios,Panthrakikos,2.25,3.0,3.5,1.0,1.0,D
15/09/13,2013,Platanias,Panathinaikos,3.25,3.0,2.38,1.0,1.0,D
16/09/13,2013,Giannina,Atromitos,3.0,3.0,2.5,1.0,0.0,H
21/09/13,2013,Asteras Tripolis,Kallonis,1.55,3.6,6.5,2.0,0.0,H
21/09/13,2013,Atromitos,Apollon,1.6,3.6,6.0,2.0,0.0,H
21/09/13,2013,Panathinaikos,OFI,1.65,3.5,5.75,1.0,0.0,H
22/09/13,2013,Ergotelis,Panionios,2.25,3.1,3.4,1.0,1.0,D
22/09/13,2013,Levadeiakos,Giannina,2.7,3.0,2.75,1.0,0.0,H
22/09/13,2013,Panetolikos,Olympiakos,11.0,4.5,1.33,0.0,0.0,D
22/09/13,2013,Panthrakikos,Veria,2.25,3.1,3.4,1.0,0.0,H
22/09/13,2013,PAOK,Platanias,1.36,4.5,9.0,1.0,0.0,H
23/09/13,2013,Xanthi,Aris,2.0,3.2,4.0,2.0,0.0,H
28/09/13,2013,Panionios,Olympiakos,9.0,4.5,1.36,0.0,2.0,A
28/09/13,2013,Veria,Ergotelis,2.2,3.2,3.4,0.0,1.0,A
29/09/13,2013,Apollon,Levadeiakos,2.15,3.2,3.4,4.0,2.0,H
29/09/13,2013,Aris,Panetolikos,2.1,3.25,3.5,0.0,0.0,D
29/09/13,2013,Giannina,Xanthi,2.1,3.2,3.6,2.0,1.0,H
29/09/13,2013,OFI,PAOK,4.6,3.3,1.83,1.0,1.0,D
29/09/13,2013,Panathinaikos,Asteras Tripolis,2.38,3.1,3.1,2.0,1.0,H
30/09/13,2013,Kallonis,Atromitos,3.6,3.2,2.1,0.0,1.0,A
30/09/13,2013,Platanias,Panthrakikos,2.1,3.2,3.6,1.0,1.0,D
05/10/13,2013,Asteras Tripolis,Atromitos,2.25,3.0,3.4,2.0,2.0,D
05/10/13,2013,Ergotelis,Platanias,2.15,3.1,3.6,3.0,1.0,H
05/10/13,2013,Panionios,Aris,2.15,3.1,3.6,1.0,2.0,A
06/10/13,2013,Levadeiakos,Kallonis,2.05,3.1,4.0,1.0,0.0,H
06/10/13,2013,Olympiakos,Veria,1.13,7.5,21.0,6.0,0.0,H
06/10/13,2013,Panthrakikos,OFI,2.15,3.1,3.6,1.0,1.0,D
06/10/13,2013,PAOK,Panathinaikos,1.73,3.3,5.25,2.0,1.0,H
06/10/13,2013,Xanthi,Apollon,1.83,3.25,4.75,3.0,2.0,H
07/10/13,2013,Panetolikos,Giannina,2.3,3.1,3.2,2.0,0.0,H
19/10/13,2013,Atromitos,Levadeiakos,1.5,4.0,7.0,3.0,0.0,H
19/10/13,2013,PAOK,Asteras Tripolis,1.6,3.6,6.0,2.0,0.0,H
19/10/13,2013,Platanias,Olympiakos,19.0,5.5,1.2,1.0,4.0,A
20/10/13,2013,Apollon,Panetolikos,2.4,3.0,3.2,1.0,1.0,D
20/10/13,2013,Kallonis,Xanthi,3.2,3.0,2.38,1.0,5.0,A
20/10/13,2013,OFI,Ergotelis,1.91,3.25,4.2,1.0,1.0,D
20/10/13,2013,Panathinaikos,Panthrakikos,1.53,3.75,7.0,1.0,2.0,A
20/10/13,2013,Veria,Aris,2.25,3.1,3.4,0.0,1.0,A
21/10/13,2013,Giannina,Panionios,1.73,3.4,5.25,0.0,1.0,A
26/10/13,2013,Asteras Tripolis,Levadeiakos,1.5,3.9,7.0,2.0,0.0,H
26/10/13,2013,Ergotelis,Panathinaikos,3.0,3.1,2.45,0.0,2.0,A
26/10/13,2013,Xanthi,Atromitos,3.0,3.1,2.4,0.0,2.0,A
27/10/13,2013,Aris,Platanias,2.1,3.1,3.75,1.0,2.0,A
27/10/13,2013,Olympiakos,OFI,1.13,7.5,21.0,5.0,1.0,H
27/10/13,2013,Panionios,Apollon,1.8,3.4,4.75,2.0,1.0,H
27/10/13,2013,Panthrakikos,PAOK,4.6,3.3,1.83,0.0,3.0,A
27/10/13,2013,Veria,Giannina,2.6,3.0,2.88,2.0,2.0,D
28/10/13,2013,Panetolikos,Kallonis,1.83,3.2,4.75,4.0,0.0,H
02/11/13,2013,Giannina,Platanias,1.85,3.25,4.5,1.0,0.0,H
